bucket	category	project	page_uid	page_title	content_uid	ident	dam_uid	source	target	sha256	bytes	exists	proposed_new_category
deleted	other-sites	mhk	848	Wetterhahn	1166	tx_damttcontent_files	442	fileadmin/s-mhk/images/wetterhahn1.jpg	deleted/other-sites/mhk/wetterhahn1.jpg	9ecdc4e283d35d536fae416a6aea3122c97b07b5298ef71a2a27cf4fc8aff251	64337	True	
deleted	other-sites	mhk	847	Trommelbeschlag	1167	tx_damttcontent_files	431	fileadmin/s-mhk/images/trommelbeschlag1.jpg	deleted/other-sites/mhk/trommelbeschlag1.jpg	1c51d80e389e32f63bb0510f14a8ee15fa2781bb3b09ddc3b9e91fdb8ae68cbc	23683	True	
deleted	other-sites	mhk	847	Trommelbeschlag	1167	tx_damttcontent_files	447	fileadmin/s-mhk/images/trommelbeschlag2.jpg	deleted/other-sites/mhk/trommelbeschlag2.jpg	58480635429d197fd3d296db904fbcb3d938d7fb2b54946c10164350294931e6	23759	True	
deleted	other-sites	mhk	847	Trommelbeschlag	1167	tx_damttcontent_files	408	fileadmin/s-mhk/images/trommelbeschlag3.jpg	deleted/other-sites/mhk/trommelbeschlag3.jpg	81dc4c00171645b49e73a5d9d8601b06cdd95b358eec9d143741fe8457f953c7	22733	True	
deleted	other-sites	wtweb-design	853	lx-i	1171	rgsmoothgallery	531	fileadmin/s-wt/images/references/lx-i1.jpg	deleted/other-sites/wtweb-design/lx-i1.jpg	764dc0fe6112a05f65d8e0ae5bd0ff9880b6139e5f4a35165e8f7d4bb47c4f3e	7280	True	
deleted	other-sites	wtweb-design	853	lx-i	1171	rgsmoothgallery	532	fileadmin/s-wt/images/references/lx-i1-2.jpg	deleted/other-sites/wtweb-design/lx-i1-2.jpg	81150ec5c38a9423239bfb3b1a1a44da81d0851b2d959db17532901aba4ee26e	4036	True	
deleted	other-sites	wtweb-design	853	lx-i	1171	rgsmoothgallery	536	fileadmin/s-wt/images/references/lx-i3.jpg	deleted/other-sites/wtweb-design/lx-i3.jpg	33b01dde05507d3be78e6d32801d91d8ddba90ae5d3d041bdd4d8cd8833b1974	11125	True	
deleted	other-sites	wtweb-design	853	lx-i	1171	rgsmoothgallery	537	fileadmin/s-wt/images/references/lx-i2.jpg	deleted/other-sites/wtweb-design/lx-i2.jpg	2261f30ab4a3e6d0ef94ccf6b075ac4ff8b7c89c6f62b23c5b906e503b18d4ff	14502	True	
deleted	other-sites	wtweb-design	852	Start	1187	tx_damttcontent_files	543	fileadmin/s-wt/images/references/pyrofessor2.jpg	deleted/other-sites/wtweb-design/pyrofessor2.jpg	a60e2bcafa9441af3a7d117c79400428cba192fcc1770d4c021fef27b2b24d47	8760	True	
deleted	other-sites	wtweb-design	851	Tests	1172	rgsmoothgallery	531	fileadmin/s-wt/images/references/lx-i1.jpg	deleted/other-sites/wtweb-design/lx-i1.jpg	764dc0fe6112a05f65d8e0ae5bd0ff9880b6139e5f4a35165e8f7d4bb47c4f3e	7280	True	
deleted	other-sites	wtweb-design	851	Tests	1172	rgsmoothgallery	532	fileadmin/s-wt/images/references/lx-i1-2.jpg	deleted/other-sites/wtweb-design/lx-i1-2.jpg	81150ec5c38a9423239bfb3b1a1a44da81d0851b2d959db17532901aba4ee26e	4036	True	
deleted	other-sites	wtweb-design	851	Tests	1172	rgsmoothgallery	534	fileadmin/s-wt/images/references/pyrofessor.jpg	deleted/other-sites/wtweb-design/pyrofessor.jpg	bfd4bf1e1b57d3eab5e275071afc1aa641e2258e0be6ca5d815a890bd43a9097	8119	True	
deleted	other-sites	wtweb-design	851	Tests	1172	rgsmoothgallery	535	fileadmin/s-wt/images/references/MhkBerlin.jpg	deleted/other-sites/wtweb-design/MhkBerlin.jpg	2750a3f8d7bd0bb3b0fce898ddec7ace7b70df7980c85e79215185ca14f1b6f1	6748	True	
deleted	other-sites	wtweb-design	851	Tests	1172	rgsmoothgallery	536	fileadmin/s-wt/images/references/lx-i3.jpg	deleted/other-sites/wtweb-design/lx-i3.jpg	33b01dde05507d3be78e6d32801d91d8ddba90ae5d3d041bdd4d8cd8833b1974	11125	True	
deleted	other-sites	wtweb-design	854	Archiv	1179	tx_damttcontent_files	538	fileadmin/s-wt/images/references/murielle-argoud1.jpg	deleted/other-sites/wtweb-design/murielle-argoud1.jpg	49a39cb796655006c1150e23f82a164595eccabfcf1122c4fd83c91c1010d0ce	4007	True	
deleted	other-sites	wtweb-design	854	Archiv	1178	tx_damttcontent_files	533	fileadmin/s-wt/images/references/oculus1.jpg	deleted/other-sites/wtweb-design/oculus1.jpg	bb4fe24e377e9b6a398f534c56852f3b1f98f9342d6121936131206460ef42a1	12497	True	
deleted	other-sites	wtweb-design	854	Archiv	1177	tx_damttcontent_files	535	fileadmin/s-wt/images/references/MhkBerlin.jpg	deleted/other-sites/wtweb-design/MhkBerlin.jpg	2750a3f8d7bd0bb3b0fce898ddec7ace7b70df7980c85e79215185ca14f1b6f1	6748	True	
deleted	other-sites	wtweb-design	852	Start	1180	tx_damttcontent_files	545	fileadmin/s-wt/images/references/bfe1.jpg	deleted/other-sites/wtweb-design/bfe1.jpg	70ae26e3373e19b02047cbcebfc5223aa03de2eb66116d08bb0fbdadc75e8343	8681	True	
deleted	other-sites	wtweb-design	852	Start	1181	tx_damttcontent_files	540	fileadmin/s-wt/images/references/wurschtl-licht1.jpg	deleted/other-sites/wtweb-design/wurschtl-licht1.jpg	b0763f11e220de366dcf4304ad0e852f6c23386f99918d516513364c268d0e3d	6023	True	
deleted	other-sites	wtweb-design	854	Archiv	1185	tx_damttcontent_files	543	fileadmin/s-wt/images/references/pyrofessor2.jpg	deleted/other-sites/wtweb-design/pyrofessor2.jpg	a60e2bcafa9441af3a7d117c79400428cba192fcc1770d4c021fef27b2b24d47	8760	True	
deleted	other-sites	mhk	857	History	1192	rgsmoothgallery	386	fileadmin/s-mhk/images/cdregal.jpg	deleted/other-sites/mhk/cdregal.jpg	8f0be42cbef1ee1420dcc3fe14898217ec066ee715ed60de2a2dc6e61c600de0	20118	True	
deleted	other-sites	mhk	857	History	1192	rgsmoothgallery	392	fileadmin/s-mhk/images/von_seite_rechts00.jpg	deleted/other-sites/mhk/von_seite_rechts00.jpg	c6c6817b6f7d69e39ec6c69610ecf6d3af8c0ca413f98caff73dfc8565e337d2	16081	True	
deleted	other-sites	mhk	857	History	1192	rgsmoothgallery	394	fileadmin/s-mhk/images/eingang.jpg	deleted/other-sites/mhk/eingang.jpg	f9dd3a12b338bbac16dd186f7645a0b0a09a52f2f0d3bdc4a34888fd0e43075c	46821	True	
deleted	other-sites	mhk	857	History	1192	rgsmoothgallery	396	fileadmin/s-mhk/images/vordach.jpg	deleted/other-sites/mhk/vordach.jpg	ce41f531027413db39c75d1c56aef779594831403705f43612c781704c8d598a	90856	True	
deleted	other-sites	mhk	857	History	1192	rgsmoothgallery	397	fileadmin/s-mhk/images/led2_butt02.jpg	deleted/other-sites/mhk/led2_butt02.jpg	48909bc64e70925d02fe2e658e2e6658f392e353b10e3700491fcd6bd3cc6870	12060	True	
deleted	other-sites	mhk	857	History	1192	rgsmoothgallery	398	fileadmin/s-mhk/images/t-von_unten100.jpg	deleted/other-sites/mhk/t-von_unten100.jpg	e8e0b76b8c6e45d24840140a3becee8c474fb1b3c918560c1a312114717b1c0f	14222	True	
deleted	other-sites	mhk	857	History	1192	rgsmoothgallery	400	fileadmin/s-mhk/images/venti400.jpg	deleted/other-sites/mhk/venti400.jpg	ada470dab8d198eb870637354596e8366c46c30d18a103ecc18a53bcd187fa14	13755	True	
deleted	other-sites	mhk	857	History	1192	rgsmoothgallery	401	fileadmin/s-mhk/images/sessel.jpg	deleted/other-sites/mhk/sessel.jpg	4bae30ae1b52d818a415cba60b017484399f2dcf971d92ceaf5093dee376e7c1	54399	True	
deleted	other-sites	mhk	827	test 	1193	tx_damttcontent_files	562	fileadmin/s-mhk/images/halle/Shelter_von_rechts_oben2.jpg	deleted/other-sites/mhk/Shelter_von_rechts_oben2.jpg	06f84bb21ca748fc55a756fde59652806d090d1c3586d3a4aa513faf7b8d7561	354308	True	
deleted	other-sites	mhk	827	test 	1193	tx_damttcontent_files	563	fileadmin/s-mhk/images/halle/Shelter-Innen.jpg	deleted/other-sites/mhk/Shelter-Innen.jpg	a61f11ca06f956815b15ce7966fb459953610358304aada0d851bfb9e9c5f87e	42328	True	
live	uncategorised	entwurf	863	entwurf	1197	rgsmoothgallery	575	fileadmin/s-maj/images/entwurf/1webHome-2.jpg	live/uncategorised/entwurf/1webHome-2.jpg	4fa771695089155a75ddc30945589bc62bba2fdf039a865165c0d5bef5f39708	215999	True	
live	uncategorised	entwurf	863	entwurf	1197	rgsmoothgallery	576	fileadmin/s-maj/images/entwurf/3webFire.jpg	live/uncategorised/entwurf/3webFire.jpg	48ca9464bfdc1f6cd96a73ffdc8488214f54b1d0726a5c1e19ecc3335ab3a1cf	543829	True	
live	uncategorised	entwurf	863	entwurf	1197	rgsmoothgallery	577	fileadmin/s-maj/images/entwurf/2webShow.jpg	live/uncategorised/entwurf/2webShow.jpg	17a835fd6d275ac2e5a966acfd06a66ae7ea7437e81cdae2ec5a445254a73e9f	448631	True	
