sha256	copies	bytes_each	wasted_bytes	source	locations
20288c719c23d0861ef10b69e6a2a1385998e00649e8857582bcbdb422e543c1	4	506350	1519050	fileadmin/s-maj/images/BilderMaja/2022_Affenbande/P1040425_2.jpg	hidden/sculptural-work/affenbande/P1040425_2.jpg | hidden/sculptural-work/hinwil/P1040425_2.jpg | deleted/sculptural-work/sennhof/P1040425_2.jpg | hidden/sculptural-work/hafenszene/P1040425_2.jpg
93b935ea86ed0aa85157e7075b62279f173ad53633ebbc225ac853c00da0b2bf	4	500204	1500612	fileadmin/s-maj/images/BilderMaja/1995EurokotXiX/eisen2.jpg	live/event-organisation/eurokot/eisen2.jpg | hidden/sculptural-work/xix/eisen2.jpg | live/sculptural-work/iron-channel/eisen2.jpg | hidden/collaborations/metal-group-xix/eisen2.jpg
e1b6513a60cac13ba047339ae7c60810fb0173553e31330a4b5eb4f0a66efbe3	4	437354	1312062	fileadmin/s-maj/images/BilderMaja/2008juraBird/vogelSW.jpg	hidden/sculptural-work/recent-sculptures/vogelSW.jpg | hidden/sculptural-work/sculptures/vogelSW.jpg | hidden/sculptural-work/installations/vogelSW.jpg | hidden/recent-work/sculptures/vogelSW.jpg
cb842e84a71c4f539a76b27a1cb4876a89043e807a1f6eb79c50f19a33e50701	4	366133	1098399	fileadmin/s-maj/images/BilderMaja/2022_Affenbande/IMG_2561.jpg	hidden/sculptural-work/affenbande/IMG_2561.jpg | hidden/sculptural-work/hinwil/IMG_2561.jpg | deleted/sculptural-work/sennhof/IMG_2561.jpg | hidden/sculptural-work/hafenszene/IMG_2561.jpg
b1f7a2e8f7f452bb56c90117915f61b49d97c0375749303a4f8967709f6bf8cc	4	354980	1064940	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-33.jpg	hidden/sculptural-work/affenbande/affe_s_-33.jpg | hidden/sculptural-work/hinwil/affe_s_-33.jpg | deleted/sculptural-work/sennhof/affe_s_-33.jpg | hidden/sculptural-work/hafenszene/affe_s_-33.jpg
45e251d0dff41db19241ec2ead6619b6930f4e14694dc8aa9ef74671cdc882e7	4	346659	1039977	fileadmin/s-maj/images/BilderMaja/2022_Affenbande/IMG_2562_1.jpg	hidden/sculptural-work/affenbande/IMG_2562_1.jpg | hidden/sculptural-work/hinwil/IMG_2562_1.jpg | deleted/sculptural-work/sennhof/IMG_2562_1.jpg | hidden/sculptural-work/hafenszene/IMG_2562_1.jpg
43f0a43390b3493acdf4881a5a627556899b969a1f65e4eb11bb0e23f47a637a	4	340521	1021563	fileadmin/s-maj/images/BilderMaja/2022_Affenbande/IMG_2563_2.jpg	hidden/sculptural-work/affenbande/IMG_2563_2.jpg | hidden/sculptural-work/hinwil/IMG_2563_2.jpg | deleted/sculptural-work/sennhof/IMG_2563_2.jpg | hidden/sculptural-work/hafenszene/IMG_2563_2.jpg
7369373bce95cbb2e80aa9b1cd4c2a2f49066806842d799f98b65387c9364b33	4	337744	1013232	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-23.jpg	hidden/sculptural-work/hinwil/affe_s_-23.jpg | hidden/sculptural-work/affenbande/affe_s_-23.jpg | deleted/sculptural-work/sennhof/affe_s_-23.jpg | hidden/sculptural-work/hafenszene/affe_s_-23.jpg
09ed08171e7b1bca8bf026fc463911d45cb2aff29f89f8819037a866e50d3d85	4	316423	949269	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-22.jpg	hidden/sculptural-work/hinwil/affe_s_-22.jpg | hidden/sculptural-work/affenbande/affe_s_-22.jpg | deleted/sculptural-work/sennhof/affe_s_-22.jpg | hidden/sculptural-work/hafenszene/affe_s_-22.jpg
7b1558b2a2d346d52b1ad54c4ed4172f8ece3dea00f5e6d59def9e522b697326	4	299835	899505	fileadmin/s-maj/images/BilderMaja/2022_Affenbande/IMG_2566.jpg	hidden/sculptural-work/affenbande/IMG_2566.jpg | hidden/sculptural-work/hinwil/IMG_2566.jpg | deleted/sculptural-work/sennhof/IMG_2566.jpg | hidden/sculptural-work/hafenszene/IMG_2566.jpg
